"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045071","GO:0045071","negative regulation of viral genome replication",42,0.75630921064117,2.12891769745259,5.58168177631263e-07,1.66345745437817e-05,1.2766873010294e-05,1979,"tags=48%, list=12%, signal=42%","9636/4939/6352/91543/4940/8638/4938/3669/4599/684/60489/8519/64135/5359/56829/3434/6732/55337/57169/63901"
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen",23,0.83803212238127,2.09523458329836,5.91219228081401e-07,1.75282716221854e-05,1.34527767633248e-05,1202,"tags=52%, list=7%, signal=48%","6890/3134/3106/3122/3123/6891/972/3136/3105/567/3107/6892"
"GO:0045058","GO:0045058","T cell selection",58,0.699203743755002,2.09593529173574,5.97623742092473e-07,1.76268198569749e-05,1.35284115681487e-05,665,"tags=33%, list=4%, signal=32%","915/114836/1236/7535/3594/3718/84433/916/50943/917/5788/6693/387357/972/4063/1794/3662/920/30009"
"GO:0045229","GO:0045229","external encapsulating structure organization",273,-0.466732255939084,-1.75438130345806,6.29615449485144e-07,1.84751774459179e-05,1.41795177071634e-05,1446,"tags=24%, list=9%, signal=22%","23768/27031/4089/10266/9508/7075/83716/56999/3690/4316/4763/2670/3912/2621/150356/1842/23127/11095/2192/4921/323/2331/59277/4811/7078/5650/79148/118429/1511/57188/339366/3673/169611/4325/10516/25890/4239/8434/284217/3908/64094/858/2824/5156/7373/9510/1805/170689/406937/8425/84171/4147/1288/11096/133584/857/131873/5212/79875/7049/7148/8516/5268/4629/60495"
"GO:0140374","GO:0140374","antiviral innate immune response",72,0.676223553572577,2.07780521222755,6.39557690232963e-07,1.86711688954746e-05,1.43299392247686e-05,1943,"tags=33%, list=12%, signal=29%","3627/1380/81030/4939/4940/8638/4938/4599/3437/11274/60489/55210/79132/23220/64135/6737/7706/201292/7187/171389/3434/3433/10346/23586"
"GO:0002237","GO:0002237","response to molecule of bacterial origin",280,0.475461076084928,1.74291056939439,6.49971464391142e-07,1.88788665951579e-05,1.44893451746719e-05,2451,"tags=28%, list=15%, signal=24%","4283/3627/115362/4318/6279/11009/129607/8140/1869/1236/923/497189/10859/50943/1234/100133941/10225/3394/941/8564/3934/6891/3587/5777/3965/3553/942/2672/4615/3663/3654/2643/728/84868/51571/5724/1439/6688/4067/567/64170/5106/717/26191/7128/7133/7292/10288/4064/2635/4282/79155/695/958/10333/3595/2213/59307/4091/2876/148022/3656/3055/5467/114769/9261/4791/2048/3066/836/64127/6347/22904/7124/4851/7096/6590/11221/54"
"GO:0033045","GO:0033045","regulation of sister chromatid segregation",98,0.620295149927041,2.00165634768699,6.68170662670412e-07,1.93094572313136e-05,1.48198192698616e-05,2096,"tags=33%, list=13%, signal=29%","332/11065/57082/990/83903/991/10403/10460/9700/1063/9319/701/55143/699/9212/5347/983/116028/891/11130/9787/10459/348654/55743/9735/8110/8379/3619/6597/51529/9184/54908"
"GO:0001916","GO:0001916","positive regulation of T cell mediated cytotoxicity",24,0.840099454791111,2.10939128076584,6.87752162259535e-07,1.97754666957239e-05,1.51774769687743e-05,1039,"tags=50%, list=6%, signal=47%","3594/3134/3106/5788/3122/3123/6891/3136/3105/51571/567/3107"
"GO:0030595","GO:0030595","leukocyte chemotaxis",178,0.530468204499169,1.84766423589206,7.43946679484871e-07,2.12843145000621e-05,1.6335502877952e-05,1890,"tags=31%, list=12%, signal=28%","4283/3627/6280/6279/284340/2833/6352/1236/5800/11151/1800/7852/1234/56833/6351/6504/5880/101/9750/63940/972/3965/3553/6348/7409/3071/7941/2207/728/4192/8740/3689/6688/1230/4067/5294/7226/5795/6367/729230/5293/6850/4282/54210/7060/811/7422/120425/1240/79902/719/59341/2185/7042/11240"
"GO:0002710","GO:0002710","negative regulation of T cell mediated immunity",30,0.817950467108396,2.15477693616282,7.83648544138256e-07,2.23086416395975e-05,1.71216639232511e-05,665,"tags=43%, list=4%, signal=42%","259307/11006/10859/3575/50943/3134/5133/6504/5788/941/6693/3071/30009"
"GO:0031577","GO:0031577","spindle checkpoint signaling",42,0.750809090297495,2.11343553305076,8.15162740548771e-07,2.3090897036733e-05,1.77220372775897e-05,2096,"tags=52%, list=13%, signal=46%","332/57082/83903/991/10403/1063/9319/701/55143/699/9212/5347/891/11130/10459/348654/55743/9735/8379/3619/9184/54908"
