"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","23/702","99/9376",0.232323232323232,3.10293821404933,5.98390675314379,7.40384639812718e-07,2.20769238053247e-05,1.62955470963565e-05,"3866/3861/1675/2359/3123/3111/2209/3113/3122/2214/5648/3683/3115/6404/714/3383/713/2357/712/629/3109/728/2212",23
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","13/702","39/9376",0.333333333333333,4.45204178537512,6.14538581286606,2.72190780359182e-06,7.43988132981765e-05,5.49156837566771e-05,"3002/3123/3111/3134/3106/3113/3122/5551/3115/941/3105/942/3109",13
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","38/702","232/9376",0.163793103448276,2.18764122212398,5.2108147321966,3.29257763614979e-06,8.30742665120869e-05,6.13192596206033e-05,"2263/2255/5295/4629/80310/3682/2247/5156/3687/4638/5063/7852/3683/26999/3681/3680/2934/128239/3071/1902/5880/3673/10398/51571/8515/57121/3679/3655/1073/5154/1956/6387/81624/89846/7409/733/10095/3676",38
"hsa05166","Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","37/702","224/9376",0.165178571428571,2.20614570614571,5.19768868467569,3.61834019583589e-06,8.47725417310124e-05,6.2572800379117e-05,"1029/3560/5295/915/1869/3123/3718/3111/1870/3134/3106/3113/3122/3932/916/3683/115650/920/3115/2224/3561/991/9700/3105/3383/701/3559/111/917/4609/3109/9133/3725/113/115/9586/1871",37
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","34/702","203/9376",0.167487684729064,2.23698651284858,5.06876050933631,6.572813241245e-06,0.000143725516208557,0.000106087511963954,"7148/6696/5649/5295/857/80310/5156/4638/5063/1288/3480/3680/131873/5880/3908/3673/10398/8515/1311/5923/3679/3655/64098/858/5154/1956/55742/284217/399694/3479/330/3725/7409/3676",34
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","37/702","233/9376",0.158798283261803,2.12092977758214,4.9289736037152,9.23176854777429e-06,0.000189251255229373,0.000139691234604479,"477/1756/2273/72/4629/25802/1465/8572/23500/171024/8082/7169/1634/1288/3680/131873/91010/3908/3673/10398/27295/8515/287/1311/272/8910/3679/3655/4811/752/284217/6443/4001/7111/81624/482/3676",37
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","13/702","44/9376",0.295454545454545,3.94612794612795,5.57230734473091,1.22532495746443e-05,0.000236415638851961,0.00017450448310639,"3002/3123/3111/3134/3106/3113/3122/5551/3115/941/3105/942/3109",13
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","28/702","158/9376",0.177215189873418,2.36690829095892,4.92939993094646,1.45763769840088e-05,0.000265613980597494,0.000196056532533452,"1029/9088/1869/993/113130/4171/1870/57082/151648/994/4174/5347/4173/990/991/9700/9319/10459/701/8317/699/23594/10403/4609/9212/9133/891/1871",28
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/702","45/9376",0.288888888888889,3.85843621399177,5.46783188132635,1.60658721046888e-05,0.000277347686859891,0.000204717483882461,"3002/3123/3111/3134/3106/3113/3122/5551/3115/941/3105/942/3109",13
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","32/702","195/9376",0.164102564102564,2.19177441741544,4.78421684638909,1.87949898213476e-05,0.0003082378330701,0.000227518297837365,"5295/2359/2209/2214/23236/8354/3683/8357/5880/440689/6404/1536/3014/8332/8970/8368/8340/2357/8969/8352/8968/1535/8335/8348/728/2212/8356/8343/8345/51284/27180/8358",32
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","18/702","82/9376",0.219512195121951,2.93183239524703,4.99826780859176,2.69961152993058e-05,0.000421653610389157,0.00031123340946568,"3123/6890/3111/3134/3106/3113/3122/4261/5993/6891/1520/972/920/3115/925/3105/3109/1508",18
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","27/702","155/9376",0.174193548387097,2.32655086848635,4.73745646150533,2.84215914453424e-05,0.00042245696584672,0.000311826386857335,"22925/3123/10381/6890/3111/2209/3134/3106/3113/3122/2214/11151/6891/1520/79659/4481/3115/1536/3673/3105/1311/7277/533/1535/10312/3109/2212",27
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","14/702","54/9376",0.259259259259259,3.46269916640287,5.16295309282913,2.96235067514468e-05,0.00042245696584672,0.000311826386857335,"3002/3123/3111/3134/3106/3113/3122/5551/1493/3115/941/3105/942/3109",14
