"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000257557",47.6071714167185,-0.155831315989291,0.346890196012127,0.523994242360533,0.803909146405872,"ENSG00000257557","PPP1R12A-AS1"
"ENSG00000161800",73.4400357688513,1.03037482546093,0.601756059843863,0.0087362269981714,0.0797606718943422,"ENSG00000161800","RACGAP1"
"ENSG00000167779",193.481264067745,-2.82343507103362,0.711818168375361,3.36406735378505e-06,0.00022151513843129,"ENSG00000167779","IGFBP6"
"ENSG00000276727",23.1790241627915,1.22508118922522,0.845880773244278,0.00895437229459297,0.0810964411069059,"ENSG00000276727",NA
"ENSG00000177425",204.874534359892,-0.55512775632266,0.338267028525261,0.0356065251147333,0.203734294417664,"ENSG00000177425","PAWR"
"ENSG00000111110",184.284556216179,1.35752139689961,0.484981481092904,0.000448487768761297,0.00918562302059558,"ENSG00000111110","PPM1H"
"ENSG00000135472",29.7205737892743,0.105661708002722,0.42537043203301,0.621680380399282,0.856692711902042,"ENSG00000135472","FAIM2"
"ENSG00000139644",1521.75242383908,0.150303785171605,0.317634422772416,0.537347044772337,0.812552031231045,"ENSG00000139644","TMBIM6"
"ENSG00000110934",77.5948839465977,1.40957135597534,0.618879867403331,0.00161790959640308,0.0239577955745151,"ENSG00000110934","BIN2"
"ENSG00000139629",250.21685166824,0.270679942667497,0.428906717783587,0.289197800803101,0.623524884306518,"ENSG00000139629","GALNT6"
"ENSG00000133639",376.062740779697,0.0784733301077833,0.25632447939047,0.718894905318863,0.904245546375789,"ENSG00000133639","BTG1"
"ENSG00000111605",289.865026780495,0.035789080346035,0.304347535731024,0.880148474647555,0.962906997654574,"ENSG00000111605","CPSF6"
"ENSG00000258035",17.6840469427504,0.101395140049665,0.390015337286699,0.666481115566837,0.878209095870147,"ENSG00000258035","PLXNC1-AS1"
"ENSG00000257802",11.4216248852996,0.00997159884443442,0.390218053491402,0.966856692326379,0.989222233731595,"ENSG00000257802",NA
"ENSG00000257953",11.240024904182,0.0979149070348717,0.399373039711788,0.670412982146736,0.880381520485699,"ENSG00000257953",NA
