"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000151892",166.483031517539,-2.59404277498356,0.728926120312645,1.68565785619305e-05,0.000787091482194666,"ENSG00000151892","GFRA1"
"ENSG00000154252",17.3221295341797,3.97231782375398,1.09028436485453,1.70229953943885e-05,0.000791012844100991,"ENSG00000154252","GAL3ST2"
"ENSG00000124615",229.889483373423,-1.73080698019664,0.471698573235627,1.70049497542895e-05,0.000791012844100991,"ENSG00000124615","MOCS1"
"ENSG00000235823",101.41716579581,1.89030300989822,0.517816818042636,1.71911806907603e-05,0.000796898426657923,"ENSG00000235823","OLMALINC"
"ENSG00000214944",129.213176751383,-1.37529734249326,0.367670541334737,1.79678102026806e-05,0.000830892158071428,"ENSG00000214944","ARHGEF28"
"ENSG00000273451",17.9116110391877,3.36831044943021,0.93710042164221,1.80654530754606e-05,0.000833399302815301,"ENSG00000273451",NA
"ENSG00000148671",122.09811109777,-2.04321120700839,0.566713236254596,1.82030479205567e-05,0.000837733075883462,"ENSG00000148671","ADIRF"
"ENSG00000109321",58.7939210923251,-2.99901956137845,0.849410890709644,1.82943236941958e-05,0.0008399195359218,"ENSG00000109321","AREG"
"ENSG00000147138",45.5877584184862,2.38506371170566,0.667046058537327,1.84707905442199e-05,0.000845997473351131,"ENSG00000147138","GPR174"
"ENSG00000106462",125.988428350863,1.80147250505902,0.494293287298897,1.86301145927603e-05,0.000849241161875684,"ENSG00000106462","EZH2"
"ENSG00000111206",140.273762678032,2.03612521656357,0.565139621362536,1.86121424510275e-05,0.000849241161875684,"ENSG00000111206","FOXM1"
"ENSG00000173200",65.5086211858252,2.37375514759436,0.665070228063284,1.88048401404929e-05,0.000853152924671868,"ENSG00000173200","PARP15"
"ENSG00000011465",3085.5452950925,-1.82557066437225,0.504070823093197,1.88021367765039e-05,0.000853152924671868,"ENSG00000011465","DCN"
"ENSG00000171848",108.487591078171,3.30797387265321,0.946534840831317,1.88736910155062e-05,0.000854257085562688,"ENSG00000171848","RRM2"
"ENSG00000164694",366.577746939737,2.75755091987768,0.782718022819378,1.90853367561678e-05,0.000861531587120146,"ENSG00000164694","FNDC1"
"ENSG00000172183",252.779077063568,2.0046310831265,0.55567551048571,1.9124196556364e-05,0.000861531587120146,"ENSG00000172183","ISG20"
"ENSG00000225243",29.7006103025381,-3.29504375532222,0.933617613736938,1.93203669819806e-05,0.000864682346817552,"ENSG00000225243",NA
"ENSG00000157152",30.2634965863882,-2.73613627020215,0.769328457206732,1.92475159737165e-05,0.000864682346817552,"ENSG00000157152","SYN2"
"ENSG00000169282",34.6669292954187,-2.00457505538285,0.554904546473366,1.93293067992668e-05,0.000864682346817552,"ENSG00000169282","KCNAB1"
"ENSG00000264982",17.8886014341324,-2.49386823233317,0.687246582527335,1.93880990589654e-05,0.000865295369861873,"ENSG00000264982",NA
"ENSG00000092853",36.4440071538426,2.48472792843103,0.696905946688875,1.94426970719992e-05,0.000865718792363659,"ENSG00000092853","CLSPN"
"ENSG00000046653",86.2426337119588,-1.8518749211872,0.512549608968286,1.96058340822868e-05,0.000870961948780479,"ENSG00000046653","GPM6B"
"ENSG00000005844",319.959387007754,1.8994932007092,0.5252577366569,1.98668537598221e-05,0.00088051914666223,"ENSG00000005844","ITGAL"
"ENSG00000138795",111.118313447994,1.9539205339907,0.542795091380787,2.00582063753768e-05,0.000884912732298522,"ENSG00000138795","LEF1"
"ENSG00000235740",23.6863719124602,2.41300033123297,0.674502945641865,2.00157063262451e-05,0.000884912732298522,"ENSG00000235740","PHACTR2-AS1"
"ENSG00000168269",16.2291117054031,-4.29572378012375,1.14601491269679,2.02033511261182e-05,0.000889271815278289,"ENSG00000168269","FOXI1"
"ENSG00000135074",361.717511249231,2.03471895997074,0.56795512612129,2.04504885343304e-05,0.000898089989616328,"ENSG00000135074","ADAM19"
"ENSG00000148737",289.541832834925,-1.18994402800075,0.316367946395777,2.06377878815895e-05,0.000902186303497914,"ENSG00000148737","TCF7L2"
"ENSG00000183722",246.325882051203,-1.56831062661176,0.429592260754383,2.06289340067446e-05,0.000902186303497914,"ENSG00000183722","LHFPL6"
"ENSG00000004799",508.086142597072,-3.19246537598724,0.925477578272003,2.08774184265343e-05,0.000908522759690748,"ENSG00000004799","PDK4"
"ENSG00000262151",28.4524074694091,2.27303575368733,0.633768608710861,2.08575737561329e-05,0.000908522759690748,"ENSG00000262151",NA
"ENSG00000185477",163.431672381368,1.50183204585233,0.409244274103251,2.1048902088501e-05,0.000909796126082032,"ENSG00000185477","GPRIN3"
"ENSG00000197565",106.559762294311,-2.2528872346632,0.636428937389423,2.09909811246457e-05,0.000909796126082032,"ENSG00000197565","COL4A6"
"ENSG00000254951",34.5692096501354,-3.58120853991428,1.03160050935191,2.1019865733359e-05,0.000909796126082032,"ENSG00000254951","LOC283299"
"ENSG00000275871",153.681274426381,-2.33113052731887,0.66374292620811,2.22243391601718e-05,0.000956294378526587,"ENSG00000275871",NA
"ENSG00000156587",233.516430586764,1.71947993026322,0.476531359031961,2.21844052968182e-05,0.000956294378526587,"ENSG00000156587","UBE2L6"
"ENSG00000163462",85.6533776908211,1.78928179171734,0.497508058905104,2.23038529653814e-05,0.000957568774627817,"ENSG00000163462","TRIM46"
"ENSG00000043462",202.859223661308,1.46849040324112,0.400996283618333,2.24022652082425e-05,0.000958428950005843,"ENSG00000043462","LCP2"
"ENSG00000122035",24.2757097984542,-2.40985444178796,0.678702235910443,2.24237714841657e-05,0.000958428950005843,"ENSG00000122035","RASL11A"
"ENSG00000136286",208.082917089475,1.79282777952465,0.499461222819788,2.30121757818259e-05,0.00098139258984227,"ENSG00000136286","MYO1G"
"ENSG00000198796",26.2173273052209,3.11265942053618,0.892557126024635,2.31779218595259e-05,0.000986269397796368,"ENSG00000198796","ALPK2"
"ENSG00000254192",79.2837251811414,-1.96316555237777,0.552996826807982,2.32822333638161e-05,0.000988516240011052,"ENSG00000254192",NA
"ENSG00000233237",191.974639932676,-2.07290622979183,0.587858120734696,2.34642827389579e-05,0.000994046468086845,"ENSG00000233237","LINC00472"
"ENSG00000187955",1825.76435720744,-1.91681440007259,0.542001726962756,2.37107706531955e-05,0.00100227621058475,"ENSG00000187955","COL14A1"
"ENSG00000188338",36.0928939804525,2.86906255592289,0.825877380789523,2.39216078378108e-05,0.00100896610113281,"ENSG00000188338","SLC38A3"
"ENSG00000111602",147.421420537949,1.66015993525145,0.461159509137297,2.41033507152693e-05,0.00101440220082617,"ENSG00000111602","TIMELESS"
"ENSG00000160949",153.14807765337,1.36565294606395,0.372511937048712,2.45448782473405e-05,0.00102847327171335,"ENSG00000160949","TONSL"
"ENSG00000100154",421.512716295854,-1.24757976990093,0.337594267227599,2.44962263747779e-05,0.00102847327171335,"ENSG00000100154","TTC28"
"ENSG00000150471",85.741407450898,-2.71910916138776,0.787944444257278,2.4903975245538e-05,0.00104077823071189,"ENSG00000150471","ADGRL3"
"ENSG00000244968",24.3804782396923,-2.6007785108493,0.740940505025519,2.49470056863879e-05,0.00104077823071189,"ENSG00000244968","LIFR-AS1"
"ENSG00000197308",15.7244725440986,-3.07675501430573,0.86067782967559,2.50822871285952e-05,0.00104415221753768,"ENSG00000197308","GATA3-AS1"
"ENSG00000120471",19.6948440966954,-3.02451800859009,0.860161221515638,2.56242222178683e-05,0.00106440356836171,"ENSG00000120471","TP53AIP1"
"ENSG00000183287",25.0324424204401,-2.7309458075777,0.782874035595705,2.59283766868923e-05,0.00107471161338693,"ENSG00000183287","CCBE1"
